rank,player_id,player_name,team_name,competition_name,season_name,competition_id,season_id,n_pressing_events,pap_score,pap_percentile,success_rate,expected_success,avg_difficulty,top_pressure_zone
117,3477,Álvaro Borja Morata Martín,Spain,UEFA Euro,2020,55,43,239,-0.03394152946738594,22.7,0.33472803347280333,0.36866956294018927,0.6313304370598107,final_third
118,12041,João Félix Sequeira,Portugal,FIFA World Cup,2022,43,106,106,-0.034741390193456394,22.0,0.37735849056603776,0.4120998807594941,0.5879001192405059,final_third
119,3205,Kyle Walker,England,UEFA Euro,2024,55,282,218,-0.03486605102586199,21.3,0.4541284403669725,0.48899449139283446,0.5110055086071655,final_third
120,16570,Vladimír Coufal,Czech Republic,UEFA Euro,2020,55,43,154,-0.035558891491662845,20.7,0.38311688311688313,0.418675774608546,0.581324225391454,right_half_space
121,8519,Dayotchanculle Upamecano,France,UEFA Euro,2024,55,282,119,-0.03563982117104074,20.0,0.42857142857142855,0.4642112497424693,0.5357887502575307,final_third
122,7037,Lorenzo Insigne,Italy,UEFA Euro,2020,55,43,190,-0.03646944430019076,19.3,0.42105263157894735,0.4575220758791381,0.5424779241208619,final_third
123,5203,Sergio Busquets i Burgos,Spain,UEFA Euro,2020,55,43,169,-0.03647924778423529,18.7,0.4260355029585799,0.4625147507428151,0.5374852492571849,final_third
124,4870,Tomáš Souček,Czech Republic,UEFA Euro,2020,55,43,165,-0.036770047271658536,18.0,0.4,0.4367700472716585,0.5632299527283415,final_third
125,6989,Timothy Castagne,Belgium,UEFA Euro,2024,55,282,114,-0.04095074717079026,17.3,0.4298245614035088,0.47077530857429906,0.5292246914257009,def_third
126,5574,Toni Kroos,Germany,UEFA Euro,2024,55,282,248,-0.04099202039234339,16.7,0.4475806451612903,0.4885726655536337,0.5114273344463662,final_third
127,5206,Rúben Santos Gato Alves Dias,Portugal,UEFA Euro,2024,55,282,104,-0.04119429641819884,16.0,0.4519230769230769,0.4931173733412758,0.5068826266587242,own_box
128,8181,Nicolò Barella,Italy,UEFA Euro,2020,55,43,196,-0.041338765673031776,15.3,0.3826530612244898,0.4239918268975216,0.5760081731024784,final_third
129,2954,Youri Tielemans,Belgium,UEFA Euro,2020,55,43,125,-0.04193044080522107,14.7,0.432,0.47393044080522106,0.5260695591947789,final_third
130,5562,Thomas Müller,Germany,UEFA Euro,2020,55,43,115,-0.042018945207579206,14.0,0.4,0.44201894520757923,0.5579810547924208,final_third
131,3077,Jan Vertonghen,Belgium,UEFA Euro,2020,55,43,102,-0.04362052424394977,13.3,0.43137254901960786,0.4749930732635576,0.5250069267364423,own_box
132,6399,Gareth Frank Bale,Wales,UEFA Euro,2020,55,43,124,-0.0441258905093474,12.7,0.4032258064516129,0.4473516969609603,0.5526483030390397,final_third
133,5474,Ivan Perišić,Croatia,FIFA World Cup,2022,43,106,214,-0.04672601356038994,12.0,0.4205607476635514,0.46728676122394136,0.5327132387760587,left_half_space
134,3517,Aaron Ramsey,Wales,UEFA Euro,2020,55,43,163,-0.04714089627529211,11.3,0.3619631901840491,0.40910408645934115,0.5908959135406588,final_third
135,7788,Ciro Immobile,Italy,UEFA Euro,2020,55,43,109,-0.04755621452164053,10.7,0.3944954128440367,0.4420516273656772,0.5579483726343228,final_third
136,5544,Ricardo Iván Rodríguez Araya,Switzerland,UEFA Euro,2020,55,43,218,-0.05420346998809591,10.0,0.42201834862385323,0.4762218186119491,0.5237781813880509,left_half_space
137,8967,Ondrej Duda,Slovakia,UEFA Euro,2024,55,282,131,-0.05938890277432269,9.3,0.37404580152671757,0.43343470430104025,0.5665652956989597,final_third
138,10919,Juraj Kucka,Slovakia,UEFA Euro,2020,55,43,104,-0.060037413717976724,8.7,0.33653846153846156,0.3965758752564383,0.6034241247435617,final_third
139,3655,Andrew Robertson,Scotland,UEFA Euro,2024,55,282,109,-0.06469423139401105,8.0,0.44036697247706424,0.5050612038710752,0.4949387961289248,final_third
140,5199,Jorge Resurrección Merodio,Spain,UEFA Euro,2020,55,43,124,-0.06498313139732255,7.3,0.3629032258064516,0.4278863572037742,0.5721136427962258,final_third
141,4706,Kalvin Phillips,England,UEFA Euro,2020,55,43,115,-0.06783280707653165,6.7,0.3391304347826087,0.40696324185914035,0.5930367581408597,final_third
142,4445,Jules Koundé,France,UEFA Euro,2024,55,282,147,-0.07244085850256435,6.0,0.3945578231292517,0.466998681631816,0.533001318368184,final_third
143,8830,Andriy Yarmolenko,Ukraine,UEFA Euro,2020,55,43,136,-0.07451146003584427,5.3,0.35294117647058826,0.4274526365064325,0.5725473634935675,final_third
144,8220,David Olatukunbo Alaba,Austria,UEFA Euro,2020,55,43,106,-0.07515124034196596,4.7,0.4056603773584906,0.4808116177004565,0.5191883822995436,final_third
145,3325,Marko Arnautović,Austria,UEFA Euro,2020,55,43,122,-0.08170994033361396,4.0,0.3524590163934426,0.4341689567270566,0.5658310432729434,final_third
146,7796,Silvan Widmer,Switzerland,UEFA Euro,2020,55,43,110,-0.081812186451372,3.3,0.34545454545454546,0.42726673190591746,0.5727332680940825,right_half_space
147,3468,Jordan Pickford,England,UEFA Euro,2024,55,282,177,-0.0847452004074738,2.7,0.3163841807909605,0.4011293811984342,0.5988706188015658,own_box
148,5527,Thomas Delaney,Denmark,UEFA Euro,2020,55,43,122,-0.08544758918350391,2.0,0.38524590163934425,0.47069349082284817,0.5293065091771518,final_third
149,7131,Domenico Berardi,Italy,UEFA Euro,2020,55,43,104,-0.10002324808458754,1.3,0.3269230769230769,0.42694632500766444,0.5730536749923356,final_third
150,3308,Kieran Trippier,England,UEFA Euro,2024,55,282,125,-0.10041636363896646,0.7,0.368,0.46841636363896644,0.5315836363610336,left_half_space
